 	d	pon	mean_ratio_NN	mean_ratio	mean_weighted_ratio	mean abs ratio	mean weighted abs ratio	variance of mean_weighted_ratio	SD mean_weighted_ratio	rSD mean_weighted_ratio	variance of weighted abs ratio	SD of weighted abs ratio	rSD of weighted abs ratio	SE of weighted abs ratio
1	1.663E3	3.000E0	-7.438E-1	-1.110E-16	-1.110E-16	1.110E-16	1.110E-16	0.000E0	0.000E0	-0.000E0	0.000E0	0.000E0	0.000E0	0.000E0
2	1.247E3	1.734E3	-8.482E-1	-4.069E-1	-2.892E-1	4.863E-1	3.966E-1	2.025E-1	4.500E-1	-1.556E0	1.288E-1	3.589E-1	9.047E-1	8.162E-3
3	9.350E2	5.303E3	-8.704E-1	-5.772E-1	-3.864E-1	7.197E-1	6.204E-1	3.703E-1	6.086E-1	-1.575E0	1.348E-1	3.671E-1	5.917E-1	5.202E-3
4	7.010E2	9.257E3	-8.649E-1	-6.295E-1	-3.862E-1	8.108E-1	7.255E-1	4.802E-1	6.930E-1	-1.794E0	1.031E-1	3.210E-1	4.425E-1	3.549E-3
5	5.260E2	1.293E4	-8.404E-1	-6.441E-1	-3.361E-1	8.688E-1	8.031E-1	6.027E-1	7.763E-1	-2.310E0	7.065E-2	2.658E-1	3.310E-1	2.521E-3
6	3.950E2	1.608E4	-7.942E-1	-6.397E-1	-2.560E-1	9.079E-1	8.669E-1	7.352E-1	8.574E-1	-3.350E0	4.921E-2	2.218E-1	2.559E-1	1.901E-3
7	2.960E2	1.869E4	-7.387E-1	-6.415E-1	-1.673E-1	9.406E-1	9.257E-1	8.612E-1	9.280E-1	-5.548E0	3.235E-2	1.799E-1	1.943E-1	1.433E-3
8	2.220E2	2.077E4	-7.049E-1	-6.453E-1	-1.092E-1	9.612E-1	9.607E-1	9.290E-1	9.638E-1	-8.826E0	1.798E-2	1.341E-1	1.396E-1	9.746E-4
9	1.670E2	2.238E4	-6.685E-1	-6.355E-1	-5.315E-2	9.569E-1	9.819E-1	9.697E-1	9.847E-1	-1.853E1	8.378E-3	9.153E-2	9.322E-2	5.922E-4
10	1.250E2	2.366E4	-6.534E-1	-6.365E-1	-4.411E-2	9.367E-1	9.930E-1	9.874E-1	9.937E-1	-2.253E1	3.368E-3	5.803E-2	5.844E-2	3.127E-4
11	9.400E1	2.462E4	-6.362E-1	-6.296E-1	-2.500E-2	9.132E-1	9.986E-1	9.973E-1	9.986E-1	-3.994E1	6.761E-4	2.600E-2	2.604E-2	9.808E-5
12	7.100E1	2.535E4	-6.227E-1	-6.227E-1	-2.052E-2	8.914E-1	1.000E0	9.996E-1	9.998E-1	-4.873E1	0.000E0	0.000E0	0.000E0	0.000E0
13	5.300E1	2.592E4	-6.023E-1	-6.023E-1	-1.237E-2	8.536E-1	1.000E0	9.998E-1	9.999E-1	-8.084E1	0.000E0	0.000E0	0.000E0	0.000E0
14	4.000E1	2.634E4	-5.924E-1	-5.924E-1	-4.284E-3	8.301E-1	1.000E0	1.000E0	1.000E0	-2.334E2	0.000E0	0.000E0	0.000E0	0.000E0
15	3.000E1	2.667E4	-5.874E-1	-5.874E-1	-3.784E-3	8.141E-1	1.000E0	1.000E0	1.000E0	-2.643E2	0.000E0	0.000E0	0.000E0	0.000E0
16	2.300E1	2.690E4	-5.817E-1	-5.817E-1	-8.243E-3	8.009E-1	1.000E0	9.999E-1	1.000E0	-1.213E2	0.000E0	0.000E0	0.000E0	0.000E0
17	1.700E1	2.710E4	-5.758E-1	-5.758E-1	-6.233E-3	7.853E-1	1.000E0	1.000E0	1.000E0	-1.604E2	0.000E0	0.000E0	0.000E0	0.000E0
18	1.300E1	2.723E4	-5.703E-1	-5.703E-1	5.570E-3	7.793E-1	1.000E0	1.000E0	1.000E0	1.795E2	0.000E0	0.000E0	0.000E0	0.000E0
19	1.000E1	2.733E4	-5.626E-1	-5.626E-1	7.334E-3	7.677E-1	1.000E0	9.999E-1	1.000E0	1.363E2	0.000E0	0.000E0	0.000E0	0.000E0
20	8.000E0	2.739E4	-5.682E-1	-5.682E-1	-2.064E-2	7.605E-1	1.000E0	9.996E-1	9.998E-1	-4.845E1	0.000E0	0.000E0	0.000E0	0.000E0
21	6.000E0	2.746E4	-5.652E-1	-5.652E-1	-9.182E-3	7.607E-1	1.000E0	9.999E-1	1.000E0	-1.089E2	0.000E0	0.000E0	0.000E0	0.000E0
