 	d	pon	mean_ratio_NN	mean_ratio	mean_weighted_ratio	mean abs ratio	mean weighted abs ratio	variance of mean_weighted_ratio	SD mean_weighted_ratio	rSD mean_weighted_ratio	variance of weighted abs ratio	SD of weighted abs ratio	rSD of weighted abs ratio	SE of weighted abs ratio
1	1.663E3	3.000E0	-7.442E-1	0.000E0	0.000E0	0.000E0	0.000E0	0.000E0	0.000E0	NaN	0.000E0	0.000E0	NaN	0.000E0
2	1.247E3	1.734E3	-7.021E-1	8.038E-2	8.792E-2	1.049E-1	1.092E-1	9.472E-3	9.732E-2	1.107E0	5.287E-3	7.271E-2	6.661E-1	1.768E-3
3	9.350E2	5.303E3	-6.967E-1	5.974E-2	9.822E-2	1.964E-1	2.034E-1	4.773E-2	2.185E-1	2.224E0	1.599E-2	1.264E-1	6.215E-1	1.774E-3
4	7.010E2	9.257E3	-6.978E-1	7.779E-3	9.453E-2	2.877E-1	2.975E-1	1.093E-1	3.306E-1	3.497E0	2.975E-2	1.725E-1	5.799E-1	1.851E-3
5	5.260E2	1.293E4	-7.004E-1	-3.956E-2	9.034E-2	3.507E-1	3.519E-1	1.642E-1	4.052E-1	4.485E0	4.855E-2	2.203E-1	6.262E-1	1.915E-3
6	3.950E2	1.608E4	-7.041E-1	-9.639E-2	8.536E-2	4.318E-1	4.161E-1	2.257E-1	4.751E-1	5.566E0	5.983E-2	2.446E-1	5.878E-1	1.893E-3
7	2.960E2	1.869E4	-7.171E-1	-1.864E-1	6.469E-2	5.278E-1	4.864E-1	3.090E-1	5.559E-1	8.593E0	7.664E-2	2.768E-1	5.692E-1	1.990E-3
8	2.220E2	2.077E4	-7.278E-1	-2.791E-1	5.250E-2	6.211E-1	5.599E-1	3.958E-1	6.291E-1	1.198E1	8.506E-2	2.916E-1	5.209E-1	2.057E-3
9	1.670E2	2.238E4	-7.240E-1	-3.502E-1	3.344E-2	6.757E-1	6.216E-1	4.759E-1	6.898E-1	2.063E1	9.061E-2	3.010E-1	4.843E-1	2.117E-3
10	1.250E2	2.366E4	-7.052E-1	-3.944E-1	2.393E-2	7.094E-1	6.814E-1	5.519E-1	7.429E-1	3.105E1	8.818E-2	2.969E-1	4.358E-1	2.103E-3
11	9.400E1	2.462E4	-6.838E-1	-4.286E-1	5.286E-3	7.258E-1	7.335E-1	6.208E-1	7.879E-1	1.491E2	8.287E-2	2.879E-1	3.925E-1	2.063E-3
12	7.100E1	2.535E4	-6.605E-1	-4.546E-1	7.317E-3	7.441E-1	7.864E-1	6.923E-1	8.321E-1	1.137E2	7.391E-2	2.719E-1	3.457E-1	1.977E-3
13	5.300E1	2.592E4	-6.422E-1	-4.806E-1	1.205E-3	7.573E-1	8.341E-1	7.577E-1	8.705E-1	7.224E2	6.196E-2	2.489E-1	2.984E-1	1.842E-3
14	4.000E1	2.634E4	-6.156E-1	-4.844E-1	1.935E-2	7.600E-1	8.674E-1	8.056E-1	8.975E-1	4.638E1	5.350E-2	2.313E-1	2.667E-1	1.723E-3
15	3.000E1	2.667E4	-6.038E-1	-5.000E-1	1.122E-2	7.637E-1	8.952E-1	8.460E-1	9.198E-1	8.197E1	4.482E-2	2.117E-1	2.365E-1	1.587E-3
16	2.300E1	2.690E4	-5.994E-1	-5.223E-1	-3.130E-3	7.734E-1	9.225E-1	8.859E-1	9.412E-1	-3.007E2	3.499E-2	1.871E-1	2.028E-1	1.394E-3
17	1.700E1	2.710E4	-5.920E-1	-5.319E-1	-6.964E-3	7.763E-1	9.401E-1	9.111E-1	9.545E-1	-1.371E2	2.729E-2	1.652E-1	1.757E-1	1.249E-3
18	1.300E1	2.723E4	-5.780E-1	-5.315E-1	9.408E-3	7.777E-1	9.544E-1	9.320E-1	9.654E-1	1.026E2	2.113E-2	1.454E-1	1.523E-1	1.101E-3
19	1.000E1	2.733E4	-5.786E-1	-5.442E-1	2.213E-3	7.825E-1	9.661E-1	9.491E-1	9.742E-1	4.402E2	1.583E-2	1.258E-1	1.302E-1	9.628E-4
20	8.000E0	2.739E4	-5.721E-1	-5.455E-1	-3.510E-3	7.783E-1	9.737E-1	9.605E-1	9.800E-1	-2.792E2	1.244E-2	1.115E-1	1.145E-1	8.567E-4
21	6.000E0	2.746E4	-5.655E-1	-5.446E-1	-3.580E-3	7.709E-1	9.787E-1	9.680E-1	9.839E-1	-2.748E2	1.012E-2	1.006E-1	1.028E-1	7.927E-4
