 	d	pon	mean_ratio_NN	mean_ratio	mean_weighted_ratio	mean abs ratio	mean weighted abs ratio	variance of mean_weighted_ratio	SD mean_weighted_ratio	rSD mean_weighted_ratio	variance of weighted abs ratio	SD of weighted abs ratio	rSD of weighted abs ratio	SE of weighted abs ratio
1	1.520E3	3.000E0	-9.983E-1	0.000E0	0.000E0	0.000E0	0.000E0	0.000E0	0.000E0	NaN	0.000E0	0.000E0	NaN	0.000E0
2	1.140E3	4.360E2	-9.983E-1	-2.827E-19	-4.991E-19	9.401E-18	8.818E-18	7.366E-34	2.714E-17	-5.437E1	6.590E-34	2.567E-17	2.911E0	1.193E-18
3	8.550E2	1.330E3	-9.983E-1	8.053E-20	0.000E0	1.664E-17	1.790E-17	1.734E-33	4.164E-17	Infinity	1.413E-33	3.759E-17	2.100E0	1.096E-18
4	6.410E2	2.321E3	-9.974E-1	-9.287E-19	-1.112E-18	1.513E-17	1.462E-17	1.256E-33	3.544E-17	-3.186E1	1.043E-33	3.230E-17	2.209E0	7.093E-19
5	4.810E2	3.242E3	-9.629E-1	2.131E-19	-1.242E-19	7.891E-18	8.287E-18	6.589E-34	2.567E-17	-2.066E2	5.902E-34	2.429E-17	2.932E0	5.194E-19
6	3.610E2	4.033E3	-9.107E-1	-3.353E-20	-1.849E-19	2.786E-19	3.768E-19	2.681E-35	5.178E-18	-2.800E1	2.670E-35	5.168E-18	1.372E1	1.127E-19
7	2.710E2	4.683E3	-8.052E-1	-1.685E-19	1.063E-19	1.056E-17	1.296E-17	1.280E-33	3.578E-17	3.365E2	1.112E-33	3.335E-17	2.572E0	7.111E-19
8	2.030E2	5.206E3	-6.752E-1	1.291E-19	-1.108E-19	1.248E-17	1.932E-17	1.921E-33	4.382E-17	-3.957E2	1.547E-33	3.934E-17	2.036E0	8.571E-19
9	1.520E2	5.617E3	-5.758E-1	9.945E-19	1.080E-18	1.091E-17	2.108E-17	1.908E-33	4.368E-17	4.043E1	1.465E-33	3.828E-17	1.816E0	8.527E-19
10	1.140E2	5.934E3	-4.845E-1	1.426E-19	-5.921E-19	7.786E-18	1.680E-17	1.382E-33	3.717E-17	-6.279E1	1.100E-33	3.317E-17	1.974E0	7.559E-19
11	8.600E1	6.172E3	-4.144E-1	7.265E-20	-5.013E-20	2.267E-18	4.297E-18	3.277E-34	1.810E-17	-3.611E2	3.093E-34	1.759E-17	4.093E0	3.718E-19
12	6.500E1	6.354E3	-3.676E-1	-4.158E-19	-1.413E-18	1.773E-18	5.605E-18	5.751E-34	2.398E-17	-1.697E1	5.457E-34	2.336E-17	4.168E0	5.703E-19
13	4.900E1	6.495E3	-3.372E-1	2.178E-19	-4.206E-19	6.215E-18	1.737E-17	1.648E-33	4.060E-17	-9.653E1	1.347E-33	3.670E-17	2.113E0	8.791E-19
14	3.700E1	6.601E3	-3.047E-1	-1.060E-18	-1.640E-18	6.942E-18	2.254E-17	2.170E-33	4.658E-17	-2.840E1	1.665E-33	4.080E-17	1.810E0	1.008E-18
15	2.800E1	6.681E3	-2.805E-1	-3.184E-19	-1.184E-18	3.995E-18	1.421E-17	1.075E-33	3.278E-17	-2.769E1	8.742E-34	2.957E-17	2.081E0	7.249E-19
16	2.100E1	6.744E3	-2.630E-1	-6.339E-20	1.213E-19	1.391E-18	4.282E-18	3.157E-34	1.777E-17	1.465E2	2.974E-34	1.725E-17	4.027E0	3.995E-19
17	1.600E1	6.789E3	-2.494E-1	0.000E0	0.000E0	0.000E0	0.000E0	0.000E0	0.000E0	NaN	0.000E0	0.000E0	NaN	0.000E0
18	1.200E1	6.825E3	-2.387E-1	0.000E0	0.000E0	0.000E0	0.000E0	0.000E0	0.000E0	NaN	0.000E0	0.000E0	NaN	0.000E0
19	9.000E0	6.852E3	-2.314E-1	1.086E-18	2.680E-18	2.284E-18	7.377E-18	6.559E-34	2.561E-17	9.557E0	6.086E-34	2.467E-17	3.344E0	5.975E-19
20	7.000E0	6.871E3	-2.320E-1	-1.774E-21	-1.037E-19	1.442E-18	4.991E-18	4.256E-34	2.063E-17	-1.989E2	4.007E-34	2.002E-17	4.011E0	4.626E-19
21	5.000E0	6.889E3	-2.229E-1	8.865E-20	6.177E-19	1.764E-18	5.926E-18	5.004E-34	2.237E-17	3.621E1	4.657E-34	2.158E-17	3.642E0	4.951E-19
22	4.000E0	6.898E3	-2.223E-1	0.000E0	0.000E0	0.000E0	0.000E0	0.000E0	0.000E0	NaN	0.000E0	0.000E0	NaN	0.000E0
23	3.000E0	6.907E3	-2.185E-1	0.000E0	0.000E0	0.000E0	0.000E0	0.000E0	0.000E0	NaN	0.000E0	0.000E0	NaN	0.000E0
24	2.000E0	6.916E3	-2.184E-1	0.000E0	0.000E0	0.000E0	0.000E0	0.000E0	0.000E0	NaN	0.000E0	0.000E0	NaN	0.000E0
25	1.000E0	6.925E3	-2.072E-1	0.000E0	0.000E0	0.000E0	0.000E0	0.000E0	0.000E0	NaN	0.000E0	0.000E0	NaN	0.000E0
